condition,fsm,task,beta,sum_log_p,count
hidden_beta,easy,prediction,3.32,-1042.5408521217892,15.0
hidden_beta,easy,prediction,3.34,-1048.7966881537022,15.0
hidden_beta,easy,prediction,3.36,-1055.0512115526599,15.0
hidden_beta,easy,prediction,3.38,-1061.3075141603567,15.0
hidden_beta,easy,prediction,3.4,-1067.5605188946972,15.0
hidden_beta,easy,prediction,3.42,-1073.8168878936356,15.0
hidden_beta,easy,prediction,3.44,-1080.0752726042658,15.0
hidden_beta,easy,prediction,3.46,-1086.3367255184567,15.0
hidden_beta,easy,prediction,3.48,-1092.5890188475914,15.0
hidden_beta,easy,prediction,3.5,-1098.8460072211788,15.0
hidden_beta,easy,prediction,3.52,-1105.1133833720019,15.0
hidden_beta,easy,prediction,3.54,-1111.3606012912842,15.0
hidden_beta,easy,prediction,3.56,-1117.6224979946905,15.0
hidden_beta,easy,prediction,3.58,-1123.879470702119,15.0
hidden_beta,easy,prediction,3.6,-1130.1084065848722,15.0
hidden_beta,easy,prediction,3.62,-1136.3784637452927,15.0
hidden_beta,easy,prediction,3.64,-1142.6042630641116,15.0
hidden_beta,easy,prediction,3.66,-1148.9186427211778,15.0
hidden_beta,easy,prediction,3.68,-1155.1561361836534,15.0
hidden_beta,easy,prediction,3.7,-1161.438723201839,15.0
hidden_beta,easy,prediction,3.72,-1167.6867820088148,15.0
hidden_beta,easy,prediction,3.74,-1173.8409146398162,15.0
hidden_beta,easy,prediction,3.76,-1180.1572063498807,15.0
hidden_beta,easy,prediction,3.78,-1186.3437915621835,15.0
hidden_beta,easy,prediction,3.8,-1192.7838910872445,15.0
hidden_beta,easy,prediction,3.82,-1199.0784698095933,15.0
hidden_beta,easy,prediction,3.84,-1205.1557524019609,15.0
hidden_beta,easy,prediction,3.86,-1211.8909683544862,15.0
hidden_beta,easy,prediction,3.88,-1217.951553925647,15.0
hidden_beta,easy,prediction,3.9,-1224.0832631450623,15.0
hidden_beta,easy,prediction,3.92,-1230.1428300076434,15.0
hidden_beta,easy,prediction,3.94,-1236.2255494279007,15.0
hidden_beta,easy,prediction,3.96,-1242.2284601488072,15.0
hidden_beta,easy,prediction,3.98,-1249.0385746322124,15.0
hidden_beta_an,easy,prediction,0.0,-103.9720770839918,15.0
hidden_beta_an,easy,prediction,0.02,-102.56843288020234,15.0
hidden_beta_an,easy,prediction,0.04,-101.61662456716547,15.0
hidden_beta_an,easy,prediction,0.06,-101.10766079662821,15.0
hidden_beta_an,easy,prediction,0.08,-101.02712445862231,15.0
hidden_beta_an,easy,prediction,0.1,-101.35595320679698,15.0
hidden_beta_an,easy,prediction,0.12,-102.07140305478237,15.0
hidden_beta_an,easy,prediction,0.14,-103.14809666391416,15.0
hidden_beta_an,easy,prediction,0.16,-104.55906358175775,15.0
hidden_beta_an,easy,prediction,0.18,-106.27669727566497,15.0
hidden_beta_an,easy,prediction,0.2,-108.27357759947557,15.0
hidden_beta_an,easy,prediction,0.22,-110.52313182141413,15.0
hidden_beta_an,easy,prediction,0.24,-113.00012850455116,15.0
hidden_beta_an,easy,prediction,0.26,-115.68101426029035,15.0
hidden_beta_an,easy,prediction,0.28,-118.54411326500639,15.0
hidden_beta_an,easy,prediction,0.3,-121.56971414209502,15.0
hidden_beta_an,easy,prediction,0.32,-124.74006960960918,15.0
hidden_beta_an,easy,prediction,0.34,-128.03933251204458,15.0
hidden_beta_an,easy,prediction,0.36,-131.45344865260145,15.0
hidden_beta_an,easy,prediction,0.38,-134.97002309203714,15.0
hidden_beta_an,easy,prediction,0.4,-138.57817286208538,15.0
hidden_beta_an,easy,prediction,0.42,-142.26837569003743,15.0
hidden_beta_an,easy,prediction,0.44,-146.03232150054606,15.0
hidden_beta_an,easy,prediction,0.46,-149.8627711860897,15.0
hidden_beta_an,easy,prediction,0.48,-153.7534253842425,15.0
hidden_beta_an,easy,prediction,0.5,-157.69880469897015,15.0
