"participant_id","fsm_number","trial_number","state_current","response_current","state_next","state_1","response_1","state_2","response_2","state_3","response_time","response_time_lessThan300ms","trial_id"
1,22,1,0,"b",3,NA,NA,NA,NA,NA,897.920000071528,0,"0b3"
1,22,2,3,"b",3,0,"b",3,"b",3,642.468999999997,0,"3b3"
1,22,3,3,"b",2,3,"b",3,"b",2,434.645000095363,0,"3b2"
1,22,4,2,"b",1,3,"b",2,"b",1,644.809000095367,0,"2b1"
1,22,5,1,"a",0,2,"b",1,"a",0,1229.82400009537,0,"1a0"
1,22,6,0,"a",3,1,"a",0,"a",3,2248.50100002384,0,"0a3"
1,22,7,3,"a",2,0,"a",3,"a",2,630.087,0,"3a2"
1,22,8,2,"b",0,3,"a",2,"b",0,426.436000000002,0,"2b0"
1,22,9,0,"a",3,2,"b",0,"a",3,448.450000047684,0,"0a3"
1,22,10,3,"b",2,0,"a",3,"b",2,560.525000023845,0,"3b2"
1,22,11,2,"a",2,3,"b",2,"a",2,1174.60400004768,0,"2a2"
1,22,12,2,"a",2,2,"a",2,"a",2,1751.25700004768,0,"2a2"
1,22,13,2,"a",2,2,"a",2,"a",2,501.485000095374,0,"2a2"
1,22,14,2,"a",2,2,"a",2,"a",2,710.615000047677,0,"2a2"
1,22,15,2,"a",2,2,"a",2,"a",2,494.005000023841,0,"2a2"
1,22,16,2,"a",2,2,"a",2,"a",2,473.348000071521,0,"2a2"
1,22,17,2,"b",1,2,"a",2,"b",1,545.873000023843,0,"2b1"
1,22,18,1,"b",1,2,"b",1,"b",1,503.477000023835,0,"1b1"
1,22,19,1,"b",1,1,"b",1,"b",1,497.718999999997,0,"1b1"
1,22,20,1,"b",1,1,"b",1,"b",1,356.276000095371,0,"1b1"
1,22,21,1,"b",3,1,"b",1,"b",3,422.010000071532,0,"1b3"
1,22,22,3,"b",2,1,"b",3,"b",2,297.434000023844,1,"3b2"
1,22,23,2,"b",1,3,"b",2,"b",1,408.317000071533,0,"2b1"
1,22,24,1,"b",3,2,"b",1,"b",3,251.436000023838,1,"1b3"
1,22,25,3,"b",3,1,"b",3,"b",3,372.150000071531,0,"3b3"
1,22,26,3,"b",2,3,"b",3,"b",2,533.389000095369,0,"3b2"
1,22,27,2,"b",0,3,"b",2,"b",0,590.242000095372,0,"2b0"
1,22,28,0,"b",3,2,"b",0,"b",3,363.791000023848,0,"0b3"
1,22,29,3,"a",0,0,"b",3,"a",0,460.57500009537,0,"3a0"
1,22,30,0,"a",3,3,"a",0,"a",3,267.734000023847,1,"0a3"
1,22,31,3,"a",2,0,"a",3,"a",2,308.093000095367,0,"3a2"
1,22,32,2,"a",2,3,"a",2,"a",2,230.013999999996,1,"2a2"
1,22,33,2,"b",1,2,"a",2,"b",1,807.303,0,"2b1"
1,22,34,1,"a",1,2,"b",1,"a",1,379.065000095361,0,"1a1"
1,22,35,1,"a",1,1,"a",1,"a",1,337.971000000005,0,"1a1"
1,22,36,1,"a",0,1,"a",1,"a",0,329.192000047682,0,"1a0"
1,22,37,0,"a",3,1,"a",0,"a",3,243.677000095369,1,"0a3"
1,22,38,3,"a",2,0,"a",3,"a",2,487.215000047683,0,"3a2"
1,22,39,2,"b",1,3,"a",2,"b",1,1457.17600004768,0,"2b1"
1,22,40,1,"a",1,2,"b",1,"a",1,853.140000071522,0,"1a1"
1,22,41,1,"b",3,1,"a",1,"b",3,275.43000007153,1,"1b3"
1,22,42,3,"a",0,1,"b",3,"a",0,214.988000047684,1,"3a0"
1,22,43,0,"a",3,3,"a",0,"a",3,252.704000095371,1,"0a3"
1,22,44,3,"a",2,0,"a",3,"a",2,254.762000023853,1,"3a2"
1,22,45,2,"a",2,3,"a",2,"a",2,594.556000023847,0,"2a2"
2,21,1,2,"a",3,NA,NA,NA,NA,NA,4655.49400000149,0,"2a3"
2,21,2,3,"a",1,2,"a",3,"a",1,3434.69100000149,0,"3a1"
2,21,3,1,"a",0,3,"a",1,"a",0,4201.37800000224,0,"1a0"
2,21,4,0,"a",2,1,"a",0,"a",2,1834.69300000148,0,"0a2"
